Klinik_ID_2018,Klinik_ID_2019,Klinikname,Adresse,Klinikort,teilgenommen,Facharzt_Gyn,Facharzt_Anaesthesie,Facharzt_Kinder,Stillberatung,Hebammen,Hebammen_VK,VK_Angabe,Kinderklinik,Geburtenzahl_2019,Kaiserschnittrate_rohe_Rate,Bewertung_Risikoadjustierte_Kaiserschnittrate,Risikoadjustierte_Kaiserschnittrate_2019
260310766-0,260310766-0,Klinikum Wolfsburg - Frauenklinik,Sauerbruchstrasse 7,Wolfsburg,TRUE,Ja,Ja,Ja,Ja,1 % weniger als empfohlen,16.5,vorhanden,Eigene Kinderklinik,1793,"27,4 %",Im Toleranzbereich oder niedriger,0.86
261200549-0,261200549-0,KMG Klinikum Luckenwalde,Saarstraße 1,Luckenwalde,TRUE,Ja,Ja,Ja,Nein,12 % weniger als empfohlen,5,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,352,"33,2 %",Im Toleranzbereich oder niedriger,1.09
261300356-1,261300356-1,Sana HANSE-Klinikum Wismar GmbH,NA,Wismar,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,792,"24,0 %",Im Toleranzbereich oder niedriger,0.88
261320010-1,261320010-1,Dietrich-Bonhoeffer-Klinikum,Salvador-Allende-Straße 30,Neubrandenburg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1024,"27,3 %",Im Toleranzbereich oder niedriger,0.94
260913195-0,260913195-0,Klinikum rechts der Isar der Technischen Universität München,NA,München,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1878,"31,0 %",Im Toleranzbereich oder niedriger,1
260551757-0,260551757-0,Marienhospital Bottrop gGmbH,Josef-Albers-Str. 70,Bottrop,TRUE,Ja,Ja,Ja,Ja,3 % mehr als empfohlen,12,vorhanden,Eigene Kinderklinik,1249,"32,3 %",Im Toleranzbereich oder niedriger,1.01
261500611-0,261500611-0,Paul Gerhardt Diakonie Krankenhaus und Pflege GmbH,NA,Lutherstadt Wittenberg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,732,"24,9 %",Im Toleranzbereich oder niedriger,0.79
260972233-1,260972233-1,"Donau-Ries Klinik Donauwörth, gemeinsames Kommunalunternehmen Donau-Ries Kliniken und Seniorenheime",NA,Donauwörth,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,577,"34,3 %",Toleranzbereich überschritten,1.31
260950727-0,260950727-0,Klinikum Altmühlfranken Weißenburg,NA,Weißenburg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,691,"36,2 %",Toleranzbereich überschritten,1.34
260700109-3,260700109-3,Gemeinschaftsklinikum Mittelrhein gGmbH,NA,Koblenz,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,728,"33,8 %",Im Toleranzbereich oder niedriger,1
260810589-1,260810589-1,"Frauenklinik, Klinik am Eichert, ALB FILS Klinken",Eichertstr. 3,Göppingen,TRUE,Ja,Ja,Ja,Ja,0 % mehr als empfohlen,15.1,vorhanden,Eigene Kinderklinik,1619,"33,8 %",Im Toleranzbereich oder niedriger,1.13
261300345-0,261300345-0,DRK-Krankenhaus Mecklenburg-Strelitz gGmbH,NA,Neustrelitz,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,145,"24,8 %",Im Toleranzbereich oder niedriger,0.99
260311051-0,260311051-0,"Evangelisches Krankenhaus Weende, Standort Neu Mariahilf",An der Lutter 24,Göttingen,TRUE,Ja,Ja,Nein,Nein,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Keine Kinderklinik angegeben,663,"27,9 %",Im Toleranzbereich oder niedriger,1.01
260320622-0,260320622-0,St. Bernward Krankenhaus,NA,Hildesheim,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1550,"34,5 %",Im Toleranzbereich oder niedriger,1.13
260620011-0,260620011-0,"Klinikum Kassel, Klinik für Frauenheilkunde und Geburtshilfe",Mönchebergstr. 41-43,Kassel,TRUE,Ja,Ja,Ja,Nein,23 % weniger als empfohlen,17,vorhanden,Eigene Kinderklinik,2381,"34,7 %",Im Toleranzbereich oder niedriger,1.09
260340535-0,260340535-0,Klinikum Leer gGmbH,Augustenstr. 35 - 37,Leer,TRUE,Ja,Ja,Ja,Ja,14 % weniger als empfohlen,8.4,vorhanden,Eigene Kinderklinik,1041,"33,9 %",Im Toleranzbereich oder niedriger,0.99
261500358-1,261500358-1,Ameos Klinikum Aschersleben-Staßfurt GmbH,NA,Aschersleben,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,446,"36,8 %",Im Toleranzbereich oder niedriger,1.15
260340034-0,260340034-0,Ubbo-Emmius-Klinik Aurich,Wallinghausener Str. 8-12,Aurich,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1273,"39,0 %",Im Toleranzbereich oder niedriger,1.17
260511428-0,260511428-0,Allgemeines Krankenhaus Viersen GmbH,NA,Viersen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,875,"30,3 %",Im Toleranzbereich oder niedriger,0.99
261500702-0,261500702-0,Universitätsklinikum Halle (Saale),NA,Halle (Saale),FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1247,"35,8 %",Im Toleranzbereich oder niedriger,0.96
261101311-0,261101311-0,DRK Kliniken Berlin Köpenick,Salvador-Allende-Straße 2-8,Berlin,TRUE,Nein,Ja,Nein,Nein,14 % mehr als empfohlen,12,vorhanden,Keine Kinderklinik angegeben,1129,"18,6 %",Im Toleranzbereich oder niedriger,0.8
260310469-0,260310469-0,Asklepios Harzklinik Goslar,NA,Goslar,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,460,"32,8 %",Im Toleranzbereich oder niedriger,1.1
261101015-0-CCM,261101015-0-CCM,Charité Geburtsmedizin CCM,Chariteplatz 1,Berlin,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,27.15,vorhanden,Eigene Kinderklinik,NA,keine Daten,keine aktuellen Daten vorhanden,NA
261101015-0-CVK,261101015-0-CVK,Charité Geburtsmedizin CVK,Augustenburger Platz 1,Berlin,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,34.59,vorhanden,Eigene Kinderklinik,NA,keine Daten,keine aktuellen Daten vorhanden,NA
260102343-1,260102343-1,"Universitätsklinikum Schleswig-Holstein, Klinik für Gynäkologie und Geburtshilfe, Campus Kiel","Arnold-Heller-Str 3, Haus C",Kiel,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1670,"29,9 %",Im Toleranzbereich oder niedriger,1.02
260930492-0,260930492-0,Krankenhaus St. Barbara,NA,Schwandorf,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,669,"17,3 %",Im Toleranzbereich oder niedriger,0.72
261600337-0,261600337-0,"Katholisches Krankenhaus ""Sankt Johann Nepomuk""",Haarbergstraße 72,Erfurt,TRUE,Nein,Ja,Nein,Nein,36 % mehr als empfohlen,7.97,vorhanden,Keine Kinderklinik angegeben,622,"26,2 %",Im Toleranzbereich oder niedriger,0.93
260530192-4,260530192-4,GFO Kliniken Bonn,NA,Bonn,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,563,"23,6 %",Im Toleranzbereich oder niedriger,0.91
260511031-0,260511031-0,Katholisches-Karl-Leisner-Klinikum gGmbH  Standort St.-Antonius-Hospital,NA,Kleve,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1280,"25,5 %",Im Toleranzbereich oder niedriger,0.87
260913479-0,260913479-0,"München Klinik Harlaching, Städtisches Klinikum München GmbH",NA,München,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2302,"29,7 %",Im Toleranzbereich oder niedriger,0.98
260930129-1,260930129-0,"Kliniken Nordoberpfalz AG - Weiden, Vohenstrauß, Neustadt",NA,Weiden i. d. OPf.,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1358,"34,5 %",Im Toleranzbereich oder niedriger,1.1
261200322-0,261200322-0,"Klinikum Barnim GmbH, Werner Forßmann Krankenhaus",Rudolf-Breitscheid-Straße 100,Eberswalde,TRUE,Ja,Ja,Ja,Ja,52 % mehr als empfohlen,9.65,vorhanden,Eigene Kinderklinik,676,"28,3 %",Im Toleranzbereich oder niedriger,0.93
260511509-1,260511509-1,St. Josef Krankenhaus GmbH Moers,NA,Moers,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1017,"25,4 %",Im Toleranzbereich oder niedriger,0.86
260330394-0,260330394-0,Kreiskrankenhaus Osterholz,NA,Osterholz-Scharmbeck,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,557,"32,7 %",Im Toleranzbereich oder niedriger,1.24
260310209-0,260310209-0,Städtisches Klinikum Braunschweig gGmbH,NA,Braunschweig,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2208,"36,9 %",Im Toleranzbereich oder niedriger,1.09
260912285-0,260912285-0,Klinikum Starnberg,Oßwaldstraße 1,Starnberg,TRUE,Ja,Ja,Ja,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik,3042,"31,2 %",Im Toleranzbereich oder niedriger,1.03
260590219-2,260590219-2,St. Rochus-Hospital Frauenklinik,Glückaufstraße 10,Castrop-Rauxel,TRUE,Ja,Ja,Nein,Ja,25 % mehr als empfohlen,9.88,vorhanden,Keine Kinderklinik angegeben,845,"31,8 %",Im Toleranzbereich oder niedriger,1.09
261000013-0,261000013-0,Klinikum Saarbrücken,Winterberg 1,Saarbrücken,TRUE,Ja,Ja,Ja,Ja,5 % mehr als empfohlen,9.78,vorhanden,Eigene Kinderklinik,995,"42,3 %",Im Toleranzbereich oder niedriger,1.2
260711180-0,260711180-0,Herz-Jesu-Krankenhaus Dernbach,Südring 8,Dernbach,TRUE,Ja,Ja,Nein,Nein,11 % mehr als empfohlen,6.25,vorhanden,Keine Kinderklinik angegeben,495,"33,3 %",Im Toleranzbereich oder niedriger,1.17
260660258-0,260660258-0,Helios St. Elisabeth Klinik Hünfeld,NA,Hünfeld,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,564,"19,1 %",Im Toleranzbereich oder niedriger,0.76
261300367-1,261300367-1,Helios Hanseklinikum Stralsund,Große Parower Str. 47-53,18435 Stralsund,TRUE,Ja,Ja,Ja,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik oder Kooperationsklinik,792,"32,4 %",Im Toleranzbereich oder niedriger,1.06
260200400-0,260200400-0,Kath. Marienkrankenhaus gemeinnützige,NA,Hamburg,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,3702,"35,9 %",Im Toleranzbereich oder niedriger,1.13
261500882-3,261500882-3,HELIOS Klinik Sangerhausen,NA,Sangerhausen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,629,"26,6 %",Im Toleranzbereich oder niedriger,0.79
260972233-2,260972233-2,"Stiftungskrankenhaus Nördlingen, gemeinsames Kommunalunternehmen Donau-Ries Kliniken und Seniorenheime",NA,Donauwörth,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,526,"31,7 %",Toleranzbereich überschritten,1.28
260911273-0,260911273-0,Klinikum Freising GmbH,NA,Freising,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,968,"31,2 %",Im Toleranzbereich oder niedriger,1.07
260200865-1,260200865-1,Asklepios Klinik Nord Heidberg,Tangstedter Landstr. 400,Hamburg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1275,"34,8 %",Im Toleranzbereich oder niedriger,1.04
260610359-0,260610359-0,Sana Klinikum Offenbach,Starkenburgring 66,Offenbach,TRUE,Ja,Ja,Ja,Nein,4 % weniger als empfohlen,13,vorhanden,Eigene Kinderklinik,1452,"35,1 %",Im Toleranzbereich oder niedriger,1
261201061-1,261201061-1,Klinikum Frankfurt Oder,Müllroser Chaussee 7,Frankfurt (Oder),TRUE,Ja,Ja,Ja,Nein,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,782,"43,6 %",Im Toleranzbereich oder niedriger,1.23
260831312-1,260831312-1,Schwarzwald-Baar Klinikum Villingen-Schwenningen GmbH,Klinikstr. 11,Villingen-Schwenningen,TRUE,Ja,Ja,Ja,Ja,5 % weniger als empfohlen,22.04,vorhanden,Eigene Kinderklinik,2480,"37,5 %",Im Toleranzbereich oder niedriger,1.1
260730081-0,260730081-0,Vinzentius Krankenhaus Landau,Cornichonstraße 4,Landau,TRUE,Ja,Ja,Ja,Nein,13 % mehr als empfohlen,13,vorhanden,Eigene Kinderklinik,1235,"27,9 %",Im Toleranzbereich oder niedriger,0.9
260911295-0,260911295-0,Klinikum Fürstenfeldbruck,NA,Fürstenfeldbruck,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,686,"28,6 %",Im Toleranzbereich oder niedriger,1.07
260570022-3,260570022-3,Klinikum Bielefeld gem. GmbH,NA,Bielefeld,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,349,"38,4 %",Toleranzbereich überschritten,1.48
260530056-0,260530056-0,Luisenhospital Aachen,NA,Aachen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1211,"23,8 %",Im Toleranzbereich oder niedriger,0.88
260960057-0,260960057-0,Krankenhaus St. Josef,NA,Schweinfurt,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,750,"32,4 %",Im Toleranzbereich oder niedriger,1.24
260821902-0,260821902-0,GRN-Klinik Weinheim,Röntgenstr. 1,Weinheim,TRUE,Ja,Ja,Nein,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,689,"24,7 %",Im Toleranzbereich oder niedriger,0.89
260590106-1,260590106-1,Augusta Kranken Anstalt Bochum,Bergstraße 26,Bochum,TRUE,Ja,Ja,Nein,Ja,10 % mehr als empfohlen,10,vorhanden,Keine Kinderklinik angegeben,974,"27,1 %",Im Toleranzbereich oder niedriger,0.91
260510815-0,260510815-0,Evangelisches Krankenhaus Oberhausen GmbH,NA,Oberhausen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1710,"37,0 %",Im Toleranzbereich oder niedriger,1.1
260551381-1,260551381-1,Klinikum Ibbenbüren,Großestraße 41,Ibbenbüren,TRUE,Ja,Ja,Nein,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,557,"30,3 %",Im Toleranzbereich oder niedriger,1.05
260100272-0,260100272-0,Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,NA,Lübeck,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1516,"32,3 %",Im Toleranzbereich oder niedriger,1.15
261500586-0,261500586-0,Helios Klinik Köthen GmbH,NA,Köthen (Anhalt),FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,412,"31,3 %",Im Toleranzbereich oder niedriger,1.07
260511097-0,260511097-0,St. Josefs Krankenhaus Hilden,NA,Hilden,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,608,"33,6 %",Im Toleranzbereich oder niedriger,1.19
261000331-1,261000331-0,Marienhaus Klinikum St. Elisabeth Saarlouis,Kapuzinerstr. 4,Saarlouis,TRUE,Ja,Ja,Ja,Ja,12 % weniger als empfohlen,8.9,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,1081,"32,2 %",Im Toleranzbereich oder niedriger,0.94
261401381-0,261401381-0,Helios Klinikum Aue,Gartenstraße 6,Aue,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,598,"33,9 %",Im Toleranzbereich oder niedriger,0.92
260102343-2,260102343-2,"Universitätsklinikum Schleswig-Holstein, Klinik für Frauenheilkunde und Geburtshilfe, Campus Lübeck","Ratzeburger Allee 160, Haus A",Lübeck,TRUE,Ja,Ja,Ja,Ja,23 % mehr als empfohlen,19,vorhanden,Eigene Kinderklinik,1655,"34,5 %",Im Toleranzbereich oder niedriger,0.9
260610019-0,260610019-0,Klinikum Darmstadt,Grafenstraße 9,Darmstadt,TRUE,Ja,Ja,Ja,Ja,36 % mehr als empfohlen,23.88,vorhanden,Eigene Kinderklinik,1880,"42,0 %",Im Toleranzbereich oder niedriger,1.16
261600894-0,261600894-0,Helios Klinikum Gotha,Heliosstrasse 1,Gotha,TRUE,Ja,Ja,Ja,Ja,32 % mehr als empfohlen,7.88,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,635,"19,7 %",Im Toleranzbereich oder niedriger,0.76
260570044-1,260570044-1,"Klinik für Gynäkologie und Geburtshilfe, Evangelisches Klinikum Bethel gGmbH",Burgsteig 13,Bielefeld,TRUE,Ja,Ja,Ja,Ja,15 % mehr als empfohlen,21,vorhanden,Eigene Kinderklinik,1950,"36,1 %",Im Toleranzbereich oder niedriger,0.97
260510132-0,260510132-0,EVK Düsseldorf,Kirchfeldstr. 49,Düsseldorf,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1650,"33,3 %",Im Toleranzbereich oder niedriger,1.01
260820785-0,260820785-0,GRN Klinik Sinsheim,Alte Waibstadter Straße 2,Sinsheim,TRUE,Nein,Ja,Nein,Ja,15 % mehr als empfohlen,13,vorhanden,Keine Kinderklinik angegeben,1206,"23,8 %",Im Toleranzbereich oder niedriger,0.89
260510029-2,260510029-2,"Sana Kliniken Düsseldorf GmbH, Standort Benrath",NA,Düsseldorf,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,640,"33,4 %",Toleranzbereich überschritten,1.32
260591539-0,260591539-0,Katharinen-Hospital - gGmbH,NA,Unna,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1061,"28,6 %",Im Toleranzbereich oder niedriger,1
261201221-0,261201221-0,Sana Krankenhaus Templin,Robert-Koch-Straße 24,Templin,TRUE,Ja,Ja,Nein,Nein,29 % weniger als empfohlen,4,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,180,"36,7 %",Im Toleranzbereich oder niedriger,1.24
260530012-0,260530012-0,Uniklinik RWTH Aachen,Pauwelsstraße 30,Aachen,TRUE,Ja,Ja,Ja,Nein,17 % mehr als empfohlen,15.2,vorhanden,Eigene Kinderklinik,1391,"37,3 %",Im Toleranzbereich oder niedriger,1.1
260340831-0,260340831-0,"Marienhospital Osnabrück, Klinik für Geburtshilfe und Frauenheilkunde",Bischofsstraße 1,Osnabrück,TRUE,Ja,Ja,Ja,Ja,7 % mehr als empfohlen,17.5,vorhanden,Eigene Kinderklinik,1746,"35,7 %",Im Toleranzbereich oder niedriger,1
260920127-1,260920127-1,DonauIsar Klinikum Deggendorf,Perlasberger Str. 41,Deggendorf,TRUE,Ja,Ja,Ja,Ja,25 % weniger als empfohlen,13,vorhanden,Eigene Kinderklinik,1847,"27,4 %",Im Toleranzbereich oder niedriger,0.83
261200402-1,261200402-1,Immanuel Klinik Rüdersdorf,Seebad 82/83,Rüdersdorf bei Berlin,TRUE,Ja,Ja,Ja,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik oder Kooperationsklinik,1029,"24,7 %",Im Toleranzbereich oder niedriger,0.89
260970890-0,260970890-0,Klinik Füssen,NA,Füssen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,418,"27,8 %",Im Toleranzbereich oder niedriger,1.06
260610337-0,260610337-0,St. Josefs Krankenhaus Balserische Stiftung,Wilhelmstr. 7,Giessen,TRUE,Ja,Ja,Nein,Nein,7 % weniger als empfohlen,11,vorhanden,Keine Kinderklinik angegeben,1266,"28,9 %",Im Toleranzbereich oder niedriger,1.06
260321714-0,260321714-0,Agaplesion Ev. Krankenhaus Holzminden,NA,Holzminden,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,369,"15,7 %",Im Toleranzbereich oder niedriger,0.56
260511781-0,260511781-0,"Rheinland Klinikum Neuss GmbH, Lukaskrankenhaus",Preußenstraße. 84,Neuss,TRUE,Ja,Ja,Ja,Ja,1 % weniger als empfohlen,17.5,vorhanden,Eigene Kinderklinik,1885,"30,8 %",Im Toleranzbereich oder niedriger,0.95
260200068-0,260200068-0,Asklepios Klinik Altona,Paul-Ehrlich-Str. 1,Hamburg,TRUE,Ja,Ja,Ja,Ja,22 % mehr als empfohlen,39,vorhanden,Eigene Kinderklinik,3427,"37,4 %",Im Toleranzbereich oder niedriger,1.24
260970015-1,260970015-1,"Universitätsklinikum Augsburg, Klinik für Frauenheilkunde und Geburtshilfe",Stenglinstr. 2,Augsburg,TRUE,Ja,Ja,Ja,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik,2359,"41,2 %",Im Toleranzbereich oder niedriger,1.2
260810523-0,260810523-0,medius Klinik Ostfildern-Ruit,NA,Ostfildern,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1203,"15,6 %",Im Toleranzbereich oder niedriger,0.63
260511280-0,260511280-0,Johanna-Etienne-Krankenhaus,NA,Neuss,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,765,"37,6 %",Toleranzbereich überschritten,1.29
260570874-2,260570874-2,St. Josefs-Krankenhaus Salzkotten,Dr.-Krismann-Straße 12,Salzkotten,TRUE,Ja,Ja,Nein,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Keine Kinderklinik angegeben,895,"19,2 %",Im Toleranzbereich oder niedriger,0.81
260531159-2,260531159-2,GFO Kliniken Rhein-Berg,NA,Bergisch Gladbach-Bensberg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,2003,"25,8 %",Im Toleranzbereich oder niedriger,0.74
260531364-2,260531364-2,GFO Kliniken Troisdorf,NA,Troisdorf,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1349,"18,2 %",Im Toleranzbereich oder niedriger,0.68
261600521-2,261600521-2,Hufeland Klinikum Mühlhausen,Langensalzaer Landstraße 1,Mühlhausen,TRUE,Nein,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik oder Kooperationsklinik,713,"22,9 %",Im Toleranzbereich oder niedriger,0.77
261100263-0,261100263-0,Evangelisches Waldkrankenhaus Spandau,Stadtrandstr. 555,Berlin,TRUE,Ja,Ja,Ja,Nein,17 % weniger als empfohlen,18.5,vorhanden,Eigene Kinderklinik,2388,"27,8 %",Im Toleranzbereich oder niedriger,0.9
260590457-1,260590457-0,"Marien Hospital Herne, Klinikum der Ruhr-Universität Bochum",NA,Herne,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,651,"41,2 %",Toleranzbereich überschritten,1.31
260100820-0,260100820-0,Klinik Preetz,NA,Plön,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,437,"30,9 %",Im Toleranzbereich oder niedriger,0.95
260840200-0,260840200-0,Universitätsklinikum Ulm,NA,Ulm,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,3214,"30,6 %",Im Toleranzbereich oder niedriger,0.93
260532935-0,260532935-0,HELIOS Klinik Wipperfürth GmbH,Alte Kölner Straße 9,Wipperfürth,TRUE,Ja,Ja,Nein,Ja,28 % mehr als empfohlen,7.43,vorhanden,Keine Kinderklinik angegeben,617,"29,5 %",Im Toleranzbereich oder niedriger,1
260530205-0,260530205-0,Johanniter-Krankenhaus,Johanniterstr. 3-5,Bonn,TRUE,Ja,Ja,keine verwertbare Angabe²,Ja,12 % mehr als empfohlen,8,vorhanden,Keine Kinderklinik angegeben,760,"32,8 %",Im Toleranzbereich oder niedriger,1.14
260812649-0,260812649-0,Rotkreuzklinik Wertheim,NA,Wertheim,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,390,"31,0 %",Im Toleranzbereich oder niedriger,1.14
260510746-0,260510746-0,Evangelisches Krankenhaus Mülheim an der Ruhr GmbH,NA,Mülheim an der Ruhr,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,756,"28,6 %",Im Toleranzbereich oder niedriger,0.99
260811502-0,260811502-0,Ostalb-Klinikum Aalen,NA,Aalen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1521,"29,0 %",Im Toleranzbereich oder niedriger,0.98
